Company_Name,Cleaned_Name,City,Normalized_City,Original_URL,Discovered_Website,Search_Status,Search_Query,Search_Error,Processing_Date
BIOTEH d.o.o.,BIOTEH .,1235 Radomlje,1235 Radomlje,https://www.bizi.si/BIOTEH-D-O-O/,,NO_WEBSITE_FOUND,"""BIOTEH ."" 1235 Radomlje Slovenia",Google Search API error: API key expired. Please renew the API key.,2025-06-29T08:28:48.356Z
VARESI d.o.o.,VARESI .,1000 Ljubljana,1000 Ljubljana,https://www.bizi.si/VARESI-D-O-O/,,NO_WEBSITE_FOUND,"""VARESI ."" 1000 Ljubljana Slovenia",Google Search API error: API key expired. Please renew the API key.,2025-06-29T08:28:48.747Z
"AKA PCB d.o.o., Lesce","AKA PCB ., Lesce",4248 Lesce,4248 Lesce,https://www.bizi.si/AKA-PCB-D-O-O-LESCE/,,NO_WEBSITE_FOUND,"""AKA PCB ., Lesce"" 4248 Lesce Slovenia",Google Search API error: API key expired. Please renew the API key.,2025-06-29T08:28:49.100Z
